"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7141","test_search[chromium]","tests","2026-07-02","passed","2026-07-02","","test_search","",""
"","11270","test_search[chromium]","tests","2026-07-02","passed","2026-07-02","","test_catalog","",""
